date,session_key,driver_number,meeting_key,position
2025-09-20T08:53:38.831000+00:00,9899,14,1269,8
2025-09-20T08:53:38.831000+00:00,9899,16,1269,5
2025-09-20T08:53:38.831000+00:00,9899,22,1269,3
2025-09-20T08:53:38.831000+00:00,9899,23,1269,4
2025-09-20T08:53:38.831000+00:00,9899,27,1269,10
2025-09-20T08:53:38.831000+00:00,9899,55,1269,9
2025-09-20T08:53:38.831000+00:00,9899,81,1269,6
2025-09-20T08:53:38.831000+00:00,9899,87,1269,2
2025-09-20T08:53:44.467000+00:00,9899,6,1269,8
2025-09-20T08:53:44.467000+00:00,9899,14,1269,9
2025-09-20T08:53:44.467000+00:00,9899,16,1269,6
2025-09-20T08:53:44.467000+00:00,9899,22,1269,4
2025-09-20T08:53:44.467000+00:00,9899,23,1269,5
2025-09-20T08:53:44.467000+00:00,9899,27,1269,11
2025-09-20T08:53:44.467000+00:00,9899,30,1269,2
2025-09-20T08:53:44.467000+00:00,9899,44,1269,12
2025-09-20T08:53:44.467000+00:00,9899,55,1269,10
2025-09-20T08:53:44.467000+00:00,9899,81,1269,7
2025-09-20T08:53:44.467000+00:00,9899,87,1269,3
2025-09-20T08:53:51.802000+00:00,9899,5,1269,15
2025-09-20T08:53:51.802000+00:00,9899,6,1269,9
2025-09-20T08:53:51.802000+00:00,9899,10,1269,17
2025-09-20T08:53:51.802000+00:00,9899,12,1269,2
2025-09-20T08:53:51.802000+00:00,9899,14,1269,10
2025-09-20T08:53:51.802000+00:00,9899,16,1269,7
2025-09-20T08:53:51.802000+00:00,9899,18,1269,18
2025-09-20T08:53:51.802000+00:00,9899,22,1269,5
2025-09-20T08:53:51.802000+00:00,9899,23,1269,6
2025-09-20T08:53:51.802000+00:00,9899,27,1269,12
2025-09-20T08:53:51.802000+00:00,9899,30,1269,3
2025-09-20T08:53:51.802000+00:00,9899,31,1269,14
2025-09-20T08:53:51.802000+00:00,9899,43,1269,16
2025-09-20T08:53:51.802000+00:00,9899,44,1269,13
